Ship-to party,Region Code,sub_region_code,광역도시,시군구,담당 RDC 코드,담당 RDC 명
KH10247,IAA,GWJ_B,광주광역시,북구,11RC,계룡RDC
KH10627,IAA,GWJ_B,광주광역시,북구,11RC,계룡RDC
KH11058,IAA,GWJ_B,광주광역시,북구,11RC,계룡RDC
KH11106,IAA,GWJ_B,광주광역시,북구,11RC,계룡RDC
KH11147,IAA,GWJ_B,광주광역시,북구,11RC,계룡RDC
KH11208,IAA,GWJ_B,광주광역시,북구,11RC,계룡RDC
KH11334,IAA,GWJ_B,광주광역시,북구,11RC,계룡RDC
KP11347,IAA,GWJ_B,광주광역시,북구,11RC,계룡RDC
KP11442,IAA,GWJ_B,광주광역시,북구,11RC,계룡RDC
KP11544,IAA,GWJ_B,광주광역시,북구,11RC,계룡RDC
KP12454,IAA,GWJ_B,광주광역시,북구,11RC,계룡RDC
KP12577,IAA,GWJ_B,광주광역시,북구,11RC,계룡RDC
KP12578,IAA,GWJ_B,광주광역시,북구,11RC,계룡RDC
KP12600,IAA,GWJ_B,광주광역시,북구,11RC,계룡RDC
KP12809,IAA,GWJ_B,광주광역시,북구,11RC,계룡RDC
KP12855,IAA,GWJ_B,광주광역시,북구,11RC,계룡RDC
KP12938,IEA,GWJ_B,광주광역시,북구,11RC,계룡RDC
KP12953,IAA,GWJ_B,광주광역시,북구,11RC,계룡RDC
KP13082,IAA,GWJ_B,광주광역시,북구,11RC,계룡RDC
KP13777,IAA,GWJ_B,광주광역시,북구,11RC,계룡RDC
KP13803,IAA,GWJ_B,광주광역시,북구,11RC,계룡RDC
3020200,IBA,GWJ_D,광주광역시,동구,11RC,계룡RDC
KP13703,IBA,GWJ_D,광주광역시,동구,11RC,계룡RDC
10588,IEA,GWJ_GS,광주광역시,광산구,11RC,계룡RDC
1694,IEA,GWJ_GS,광주광역시,광산구,11RC,계룡RDC
1726,IEA,GWJ_GS,광주광역시,광산구,11RC,계룡RDC
3003942,IEA,GWJ_GS,광주광역시,광산구,11RC,계룡RDC
3015628,IEA,GWJ_GS,광주광역시,광산구,11RC,계룡RDC
3017363,IEA,GWJ_GS,광주광역시,광산구,11RC,계룡RDC
3017595,IEA,GWJ_GS,광주광역시,광산구,11RC,계룡RDC
3692,IEA,GWJ_GS,광주광역시,광산구,11RC,계룡RDC
3842,IEA,GWJ_GS,광주광역시,광산구,11RC,계룡RDC
5953,IEA,GWJ_GS,광주광역시,광산구,11RC,계룡RDC
6182,IEA,GWJ_GS,광주광역시,광산구,11RC,계룡RDC
6767,IEA,GWJ_GS,광주광역시,광산구,11RC,계룡RDC
7731,IEA,GWJ_GS,광주광역시,광산구,11RC,계룡RDC
7914,IEA,GWJ_GS,광주광역시,광산구,11RC,계룡RDC
9067,IEA,GWJ_GS,광주광역시,광산구,11RC,계룡RDC
9376,IEA,GWJ_GS,광주광역시,광산구,11RC,계룡RDC
KH00698,IEA,GWJ_GS,광주광역시,광산구,11RC,계룡RDC
KH02059,IEA,GWJ_GS,광주광역시,광산구,11RC,계룡RDC
KH02152,IEA,GWJ_GS,광주광역시,광산구,11RC,계룡RDC
KH10022,IEA,GWJ_GS,광주광역시,광산구,11RC,계룡RDC
KH10085,IEA,GWJ_GS,광주광역시,광산구,11RC,계룡RDC
KH10511,IEA,GWJ_GS,광주광역시,광산구,11RC,계룡RDC
KH10983,IEA,GWJ_GS,광주광역시,광산구,11RC,계룡RDC
KH11008,IEA,GWJ_GS,광주광역시,광산구,11RC,계룡RDC
KH11020,IEA,GWJ_GS,광주광역시,광산구,11RC,계룡RDC
KH11059,IEA,GWJ_GS,광주광역시,광산구,11RC,계룡RDC
KH11187,IEA,GWJ_GS,광주광역시,광산구,11RC,계룡RDC
KP11039,IEA,GWJ_GS,광주광역시,광산구,11RC,계룡RDC
KP11397,IEA,GWJ_GS,광주광역시,광산구,11RC,계룡RDC
KP11696,IEA,GWJ_GS,광주광역시,광산구,11RC,계룡RDC
KP12128,IEA,GWJ_GS,광주광역시,광산구,11RC,계룡RDC
KP12340,IEA,GWJ_GS,광주광역시,광산구,11RC,계룡RDC
KP12364,IEA,GWJ_GS,광주광역시,광산구,11RC,계룡RDC
KP12380,IEA,GWJ_GS,광주광역시,광산구,11RC,계룡RDC
KP12616,IEA,GWJ_GS,광주광역시,광산구,11RC,계룡RDC
KP13179,IEA,GWJ_GS,광주광역시,광산구,11RC,계룡RDC
KP13203,IEA,GWJ_GS,광주광역시,광산구,11RC,계룡RDC
KP13244,IEA,GWJ_GS,광주광역시,광산구,11RC,계룡RDC
KP13405,IEA,GWJ_GS,광주광역시,광산구,11RC,계룡RDC
KP13656,IEA,GWJ_GS,광주광역시,광산구,11RC,계룡RDC
KP13841,IDA,GWJ_GS,광주광역시,광산구,11RC,계룡RDC
KP13857,IEA,GWJ_GS,광주광역시,광산구,11RC,계룡RDC
KH02243,IDA,GWJ_N,광주광역시,남구,11RC,계룡RDC
KH08268,IDA,GWJ_N,광주광역시,남구,11RC,계룡RDC
KH08269,IDA,GWJ_N,광주광역시,남구,11RC,계룡RDC
KH11086,IDA,GWJ_N,광주광역시,남구,11RC,계룡RDC
KH11248,IDA,GWJ_N,광주광역시,남구,11RC,계룡RDC
KP13193,IDA,GWJ_N,광주광역시,남구,11RC,계룡RDC
KP13681,IDA,GWJ_N,광주광역시,남구,11RC,계룡RDC
10242,ICA,GWJ_S,광주광역시,서구,11RC,계룡RDC
3016075,ICA,GWJ_S,광주광역시,서구,11RC,계룡RDC
3836,ICA,GWJ_S,광주광역시,서구,11RC,계룡RDC
9771,ICA,GWJ_S,광주광역시,서구,11RC,계룡RDC
KH08388,ICA,GWJ_S,광주광역시,서구,11RC,계룡RDC
KH10464,ICA,GWJ_S,광주광역시,서구,11RC,계룡RDC
KH10531,ICA,GWJ_S,광주광역시,서구,11RC,계룡RDC
KH10981,ICA,GWJ_S,광주광역시,서구,11RC,계룡RDC
KH11267,ICA,GWJ_S,광주광역시,서구,11RC,계룡RDC
KP11223,ICA,GWJ_S,광주광역시,서구,11RC,계룡RDC
KP12480,ICA,GWJ_S,광주광역시,서구,11RC,계룡RDC
KP12680,ICA,GWJ_S,광주광역시,서구,11RC,계룡RDC
KP12760,ICA,GWJ_S,광주광역시,서구,11RC,계룡RDC
KP13729,ICA,GWJ_S,광주광역시,서구,11RC,계룡RDC
KP13795,ICA,GWJ_S,광주광역시,서구,11RC,계룡RDC
KP13844,ICA,GWJ_S,광주광역시,서구,11RC,계룡RDC
3017677,JXA,JLB_BO,전라북도,부안군,11RC,계룡RDC
3019580,JXA,JLB_BO,전라북도,부안군,11RC,계룡RDC
KP13822,JXA,JLB_BO,전라북도,부안군,11RC,계룡RDC
1624,KCA,JLB_GC,전라북도,고창군,11RC,계룡RDC
3273,KCA,JLB_GC,전라북도,고창군,11RC,계룡RDC
1835,JVA,JLB_GJ,전라북도,김제시,11RC,계룡RDC
